33;2023-12-02T01:26:17.340955200
59;2023-12-02T01:26:28.246729300
60;2023-12-02T01:26:28.748992800
61;2023-12-02T01:26:29.286643800
62;2023-12-02T01:26:29.806624200
63;2023-12-02T01:26:30.283597600
38;2023-12-02T01:59:13.652064800
31;2023-12-02T02:00:34.830671100
18;2023-12-02T02:01:00.073147800
20;2023-12-02T02:01:01.807629400
21;2023-12-02T02:03:56.543906900
22;2023-12-02T02:14:30.978638100
23;2023-12-02T02:14:31.728485900
17;2023-12-02T02:14:43.104205700
4;2023-12-02T02:18:28.663150700
1;2023-12-02T02:18:31.133943
64;2023-12-02T02:18:38.187895600
65;2023-12-02T02:18:40.406598800
55;2023-12-02T02:18:45.379148300
56;2023-12-02T02:18:45.995924700
57;2023-12-02T02:18:49.450074
58;2023-12-02T02:18:49.847093400
2;2023-12-02T02:20:34.432270900
3;2023-12-02T02:20:35.308405800
5;2023-12-02T02:20:39.322094400
48;2023-12-02T02:20:45.064759500
